task_id	primary_executor	primary_wrapper	project_root	sandbox	pid	started_at	exited_at	exit_code	artifact_dir
auth-build	lw-terra	/Users/vsiyo/.codex/workers/run-lw-terra.sh	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center	writable sandbox; bounded exclusive write scope	84929	2026-08-31T06:10:48Z	2026-08-31T06:25:31Z	0	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center/agents-results/2026-08-31/media-visual-mainline-migration/remediation-wave/workers/auth-build
workspace-runtime	lw-terra	/Users/vsiyo/.codex/workers/run-lw-terra.sh	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center	writable sandbox; bounded exclusive write scope	84931	2026-08-31T06:10:48Z	2026-08-31T06:15:45Z	0	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center/agents-results/2026-08-31/media-visual-mainline-migration/remediation-wave/workers/workspace-runtime
route-policy-shell	lw-terra	/Users/vsiyo/.codex/workers/run-lw-terra.sh	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center	writable sandbox; bounded exclusive write scope	84933	2026-08-31T06:10:48Z	2026-08-31T06:20:23Z	0	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center/agents-results/2026-08-31/media-visual-mainline-migration/remediation-wave/workers/route-policy-shell
adoption-guard	lw-terra	/Users/vsiyo/.codex/workers/run-lw-terra.sh	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center	writable sandbox; bounded exclusive write scope	84935	2026-08-31T06:10:48Z	2026-08-31T06:22:41Z	0	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center/agents-results/2026-08-31/media-visual-mainline-migration/remediation-wave/workers/adoption-guard
stage2-tones	lw-terra	/Users/vsiyo/.codex/workers/run-lw-terra.sh	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center	writable sandbox; bounded exclusive write scope	84937	2026-08-31T06:10:48Z	2026-08-31T06:18:14Z	0	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center/agents-results/2026-08-31/media-visual-mainline-migration/remediation-wave/workers/stage2-tones
pagination-regression	lw-terra	/Users/vsiyo/.codex/workers/run-lw-terra.sh	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center	writable sandbox; bounded exclusive write scope	84939	2026-08-31T06:10:48Z	2026-08-31T06:16:28Z	0	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center/agents-results/2026-08-31/media-visual-mainline-migration/remediation-wave/workers/pagination-regression
media-agent-empty	lw-terra	/Users/vsiyo/.codex/workers/run-lw-terra.sh	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center	writable sandbox; bounded exclusive write scope	95625	2026-08-31T06:20:21Z	2026-08-31T06:30:13Z	0	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center/agents-results/2026-08-31/media-visual-mainline-migration/remediation-wave/workers/media-agent-empty
personal-route-authority	lw-terra	/Users/vsiyo/.codex/workers/run-lw-terra.sh	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center	writable sandbox; bounded exclusive write scope	522	2026-08-31T06:24:58Z	2026-08-31T06:36:22Z	0	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center/agents-results/2026-08-31/media-visual-mainline-migration/remediation-wave/workers/personal-route-authority
admin-access-interactions	lw-luna	/Users/vsiyo/.codex/workers/run-lw-luna.sh	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center	writable sandbox; bounded exclusive write scope	5479	2026-08-31T06:30:17Z	2026-08-31T06:56:02Z	0	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center/agents-results/2026-08-31/media-visual-mainline-migration/remediation-wave/workers/admin-access-interactions
admin-overview-contract	lw-luna	/Users/vsiyo/.codex/workers/run-lw-luna.sh	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center	writable sandbox; bounded exclusive write scope	5480	2026-08-31T06:30:17Z	2026-08-31T06:40:00Z	20	/Users/vsiyo/Desktop/创业项目/自媒体创作Agent/.codex-work/openclaw-mainline-frontend/openclaw-bot-center/agents-results/2026-08-31/media-visual-mainline-migration/remediation-wave/workers/admin-overview-contract
